"annotation_id","display_id","source_problem_id","dataset","category","pass","label","note","review_time_seconds","review_timer_started_at","review_tracking_expected_at","reviewer_id","assigned_at","submitted_at"
"cmtejatr600yp1wjnuetjtkyf","214","67319c16b68f5ac822e236b0","hle-physics","quantum mechanics","1","PROBLEM_FAILURE","I don't think this problem is well-defined without specifying the demon's capabilities.  For example, in the exterme limit of an omnipotent demon, one's own experimental apparatus cannot be trusted.","162","2026-08-29T15:27:22.386Z","2026-08-29T15:27:22.145Z","reviewer_5d62413899c9","2026-08-29T15:27:22.147Z","2026-08-29T15:30:13.333Z"
"cmtejelj800zt1wjnzobd3ngr","221","67361730dba36cc0d595f422","hle-physics","quantum mechanics","1","MODEL_FAILURE","","55","2026-08-29T15:30:18.973Z","2026-08-29T15:30:18.116Z","reviewer_5d62413899c9","2026-08-29T15:30:18.117Z","2026-08-29T15:31:14.210Z"
"cmtej9xnb00ya1wjnsrrtscsw","175","67208aa0563d776c82113daa","hle-physics","classical mechanics","1","PROBLEM_FAILURE","The reference makes multiple errors.  First of all, the flow speed of the river is piecewise, maxing out at the center.  Second, the boat turns around at 3L/4, not L/4.  Third, it inexplicably reduces the speed on the return journey.","266","2026-08-29T15:26:41.709Z","2026-08-29T15:26:40.534Z","reviewer_8983a05f1730","2026-08-29T15:26:40.535Z","2026-08-29T15:32:10.235Z"
"cmtejfxic01071wjn9o1cx98t","199","672a28afb4642f4105e02122","hle-physics","quantum mechanics","1","GRADER_FAILURE","The AI yields a more correct response.  The integrand must be specified to determine the value, but the AI accounts for both possibilities","98","2026-08-29T15:31:20.534Z","2026-08-29T15:31:20.292Z","reviewer_5d62413899c9","2026-08-29T15:31:20.293Z","2026-08-29T15:33:11.113Z"
"cmtejifrn01161wjnui5bl88r","20","71","phybench","others","1","MODEL_FAILURE","The answer should not depend on the gyrophase $\delta$, as the initial conditions are fully determined.","278","2026-08-29T15:33:19.367Z","2026-08-29T15:33:17.265Z","reviewer_5d62413899c9","2026-08-29T15:33:17.267Z","2026-08-29T15:37:57.009Z"
"cmtejoka401251wjn7a01ngaa","172","671f6889490be3e9a159f485","hle-physics","classical mechanics","1","PROBLEM_FAILURE","The reference answer cannot be correct, as the quantity $I$ is a moment of inertia, whereas the quantity $a c_f$ carries units of distance squared, resulting in a dimensionally inconsistent answer.","112","2026-08-29T15:38:04.223Z","2026-08-29T15:38:03.052Z","reviewer_5d62413899c9","2026-08-29T15:38:03.053Z","2026-08-29T15:39:56.707Z"
"cmtejrvxl012y1wjnirqybb16","166","670fe03ef99389b3c7942186","hle-physics","condensed matter physics","1","MODEL_FAILURE","The reference answer rounds incorrectly (2.74 instead of 2.73 in the final answer, despite it being correct earlier in the problem), but it is still largely correct.

For a simple HCP lattice, the formula presented by the AI is simply incorrect.","365","2026-08-29T15:40:38.493Z","2026-08-29T15:40:38.121Z","reviewer_5d62413899c9","2026-08-29T15:40:38.122Z","2026-08-29T15:47:27.325Z"
"cmtek1gtq014p1wjn33pb7x7y","215","67325a61292f97f5175026dd","hle-physics","classical mechanics","1","MODEL_FAILURE","","104","2026-08-29T15:48:08.248Z","2026-08-29T15:48:05.102Z","reviewer_93ac5ff4ea4d","2026-08-29T15:48:05.102Z","2026-08-29T15:49:52.348Z"
"cmtek0vy4014f1wjnq6fpicrd","248","6750df74ca6713770c0671be","hle-physics","electrodynamics","1","PROBLEM_FAILURE","Genuine nodes are possible for electric quadrupole radiation, so the problem must be defined better in order to achieve a finite answer.  Otherwise the maximum ratio is indeed unbounded.","228","2026-08-29T15:47:39.648Z","2026-08-29T15:47:38.043Z","reviewer_5d62413899c9","2026-08-29T15:47:38.044Z","2026-08-29T15:51:27.816Z"
"cmtek5x68016b1wjnuz1mj5oa","226","67379aea6c946be458900f3f","hle-physics","condensed matter physics","1","MODEL_FAILURE","AI does not understand the intention and meaning behind the words in the problem.","66","2026-08-29T15:51:33.438Z","2026-08-29T15:51:32.912Z","reviewer_5d62413899c9","2026-08-29T15:51:32.913Z","2026-08-29T15:52:26.470Z"
"cmtek7645016z1wjngaa3yyvn","238","673b4efb373d154ce855b23b","hle-physics","condensed matter physics","1","MODEL_FAILURE","It's true that knowledge of the lattice is required, which is not specified.  However, it's lattice constants and symmetry can be found with a quick search, and the AI incorrectly assumes a diffraction peak from a PXRD pattern measured at an arbitrary energy, and then incorrectly extracts $q$ using a different energy.","122","2026-08-29T15:52:31.559Z","2026-08-29T15:52:31.156Z","reviewer_5d62413899c9","2026-08-29T15:52:31.157Z","2026-08-29T15:55:14.956Z"
"cmtekb6dg018f1wjnux2ifdt0","198","672a27f5d30d6f5584cde73d","hle-physics","condensed matter physics","1","PROBLEM_FAILURE","The normalization and sign of the Lindhard function must be specified.  It is only defined up to a coefficient by convention.","74","2026-08-29T15:55:38.651Z","2026-08-29T15:55:38.116Z","reviewer_5d62413899c9","2026-08-29T15:55:38.117Z","2026-08-29T15:56:52.801Z"
"cmtekf4zm019t1wjnoco9sx13","46","603","phybench","condensed matter physics","1","GRADER_FAILURE","Answers are algebraically equivalent, and ""dielectric constant"" sometimes refers to $\epsilon$, and other times refers to $\epsilon_r = \frac{\epsilon}{\epsilon_0}$, so both answers can be seen as correct.","100","2026-08-29T15:58:43.542Z","2026-08-29T15:58:42.946Z","reviewer_5d62413899c9","2026-08-29T15:58:42.947Z","2026-08-29T16:00:24.015Z"
"cmtejh39j010p1wjnrdgylx44","183","6722809eb0e7186e733d6838","hle-physics","classical mechanics","1","PROBLEM_FAILURE","The reference does not account for the work done by F.  This is true in all reference frames.","769","2026-08-29T15:32:15.405Z","2026-08-29T15:32:14.407Z","reviewer_8983a05f1730","2026-08-29T15:32:14.408Z","2026-08-29T16:00:38.440Z"
"cmtekhdc801ak1wjn7gsqm3yw","130","07_cleaned_dag:1065","prism","condensed matter physics","1","GRADER_FAILURE","Answers are the same (equivalent calculation).

Sig figs are incorrect, but this is not materially incorrect for an estimation of this nature.","94","2026-08-29T16:00:28.138Z","2026-08-29T16:00:27.080Z","reviewer_5d62413899c9","2026-08-29T16:00:27.081Z","2026-08-29T16:02:02.014Z"
"cmtekjgxx01b91wjnkk6eia6r","151","Solid-StatePhysics/en/81","ugphysics","condensed matter physics","1","PROBLEM_FAILURE","Answers differ by a factor of $\pi/2$ after substitution of $\omega_D = v k = v  \pi n$ in 1D.

This is the metric normalization factor in 1D, which is not included in the reference answer average.","250","2026-08-29T16:02:06.505Z","2026-08-29T16:02:05.059Z","reviewer_5d62413899c9","2026-08-29T16:02:05.061Z","2026-08-29T16:07:06.773Z"
"cmtekqa8301cd1wjnn1q8vwbt","244","67487e955830790e3687a567","hle-physics","quantum mechanics","1","PROBLEM_FAILURE","The reference assumes a final collapse for some reason, which is not in the problem statement.   There is no measurement of the final state in any basis.","109","2026-08-29T16:07:23.449Z","2026-08-29T16:07:22.947Z","reviewer_5d62413899c9","2026-08-29T16:07:22.948Z","2026-08-29T16:09:12.812Z"
"cmteksvtw01cu1wjne9efxudz","174","672072c945e7bc8f5c2dd1ba","hle-physics","relativity","1","PROBLEM_FAILURE","The final arithmetic is performed incorrectly, despite having the correct algebraic expression.  They should obtain 2-\sqrt{2} instead.","161","2026-08-29T16:09:25.148Z","2026-08-29T16:09:24.260Z","reviewer_5d62413899c9","2026-08-29T16:09:24.261Z","2026-08-29T16:12:49.300Z"
"cmtekxfu001dj1wjnihu39s1l","156","66f28cc8b866ea3f1f4e95f5","hle-physics","electrodynamics","1","PROBLEM_FAILURE","There are several ways to accomplish this.  Problem simply underspecified.","34","2026-08-29T16:12:57.139Z","2026-08-29T16:12:56.808Z","reviewer_5d62413899c9","2026-08-29T16:12:56.808Z","2026-08-29T16:13:31.476Z"
"cmtekztvu01ea1wjnh3sjlb46","209","672f4434e9c13daba078d693","hle-physics","classical mechanics","1","PROBLEM_FAILURE","Reference makes a small error when calculating 2440 + 218.  This is a sufficiently large error to change the rounding of the final answer.","68","2026-08-29T16:14:49.340Z","2026-08-29T16:14:48.329Z","reviewer_5d62413899c9","2026-08-29T16:14:48.330Z","2026-08-29T16:15:57.962Z"
"cmtel1hjy01en1wjnc0fn8agl","155","66eda111ea64e37f9218600c","hle-physics","electrodynamics","1","PROBLEM_FAILURE","The reference solution demands an anisotropic permeability tensor, which does not seem to be allowed from the problem statement.  I would assume from the wording that the problem demands a scalar solution for $\mu$.","119","2026-08-29T16:16:06.722Z","2026-08-29T16:16:05.661Z","reviewer_5d62413899c9","2026-08-29T16:16:05.662Z","2026-08-29T16:18:05.845Z"
"cmtel45rw01f51wjnr9sxbl12","165","670402f0bae67686d8aef3e8","hle-physics","statistical physics & thermodynamics","1","GRADER_FAILURE","Answers are the same, after the limit is taken.  Here, force law is only defined up to a sign convention.","52","2026-08-29T16:18:11.076Z","2026-08-29T16:18:10.364Z","reviewer_5d62413899c9","2026-08-29T16:18:10.365Z","2026-08-29T16:19:03.850Z"
"cmtel5e0z01fh1wjnq3fjop9q","54","45","phybench","statistical physics & thermodynamics","1","GRADER_FAILURE","Answers are algebraically equivalent.","44","2026-08-29T16:19:08.591Z","2026-08-29T16:19:07.714Z","reviewer_5d62413899c9","2026-08-29T16:19:07.715Z","2026-08-29T16:19:53.091Z"
"cmtel6g2m01fs1wjnxeznh1ai","40","423","phybench","statistical physics & thermodynamics","1","GRADER_FAILURE","Answers are algebraically equivalent.","24","2026-08-29T16:19:58.872Z","2026-08-29T16:19:57.021Z","reviewer_5d62413899c9","2026-08-29T16:19:57.022Z","2026-08-29T16:20:23.327Z"
"cmtel73fs01g11wjn3d14l3u4","76","02_cleaned_dag:2089","prism","statistical physics & thermodynamics","1","GRADER_FAILURE","The algebraic and numerical answers are equivalent.","28","2026-08-29T16:20:28.888Z","2026-08-29T16:20:27.304Z","reviewer_5d62413899c9","2026-08-29T16:20:27.304Z","2026-08-29T16:20:57.059Z"
"cmtel7ule01ga1wjnizwk5810","106","05_cleaned_dag:2054","prism","statistical physics & thermodynamics","1","GRADER_FAILURE","The solutions are equivalent for all parts after converting between hyperbolic cosine and exponents and substituting $x = \mu_0 H / k T$.","76","2026-08-29T16:21:03.605Z","2026-08-29T16:21:02.497Z","reviewer_5d62413899c9","2026-08-29T16:21:02.498Z","2026-08-29T16:22:19.728Z"
"cmtel9kdm01go1wjn69yti8ao","100","05_cleaned_dag:1080","prism","statistical physics & thermodynamics","1","GRADER_FAILURE","Answers are equivalent for all parts after substitution.","33","2026-08-29T16:22:24.212Z","2026-08-29T16:22:22.570Z","reviewer_5d62413899c9","2026-08-29T16:22:22.570Z","2026-08-29T16:22:57.662Z"
"cmteladqe01gy1wjn8d5lf4lo","104","05_cleaned_dag:2032","prism","statistical physics & thermodynamics","1","GRADER_FAILURE","Answers are equivalent throughout, after hyperbolic trig functions are simplified appropriately.","75","2026-08-29T16:23:01.449Z","2026-08-29T16:23:00.613Z","reviewer_5d62413899c9","2026-08-29T16:23:00.614Z","2026-08-29T16:24:16.579Z"
"cmtelclfc01hj1wjnuidjb170","177","6720c10ac6e0d9a4953b636f","hle-physics","classical mechanics","1","MODEL_FAILURE","","33","2026-08-29T16:24:44.312Z","2026-08-29T16:24:43.895Z","reviewer_93ac5ff4ea4d","2026-08-29T16:24:43.896Z","2026-08-29T16:25:17.665Z"
"cmtelc3s801hc1wjne511gvta","107","05_cleaned_dag:2055","prism","statistical physics & thermodynamics","1","PROBLEM_FAILURE","Solution should contain \sinh^2(x), not \sinh^2(x^2), which nonphysically diverges in the zero-field limit.","82","2026-08-29T16:24:22.216Z","2026-08-29T16:24:21.031Z","reviewer_5d62413899c9","2026-08-29T16:24:21.032Z","2026-08-29T16:25:44.924Z"
"cmteldkki01hx1wjne7skokcx","204","672d44d02a52b5a11753319c","hle-physics","classical mechanics","1","MODEL_FAILURE","","53","2026-08-29T16:25:29.962Z","2026-08-29T16:25:29.442Z","reviewer_93ac5ff4ea4d","2026-08-29T16:25:29.443Z","2026-08-29T16:26:23.604Z"
"cmtele01w01i71wjntkevagy5","110","05_cleaned_dag:2072","prism","statistical physics & thermodynamics","1","PROBLEM_FAILURE","The reference writes 3\sqrt{2} instead of 2^{1/3}.  Seems like a typo, but reference answer is nevertheless incorrect.","55","2026-08-29T16:25:50.750Z","2026-08-29T16:25:49.507Z","reviewer_5d62413899c9","2026-08-29T16:25:49.508Z","2026-08-29T16:26:46.251Z"
"cmtelfclc01ip1wjnuzywqmz9","114","05_cleaned_dag:2139","prism","statistical physics & thermodynamics","1","GRADER_FAILURE","Expressions and declared limiting behavior of the model is correct.","33","2026-08-29T16:26:53.128Z","2026-08-29T16:26:52.416Z","reviewer_5d62413899c9","2026-08-29T16:26:52.417Z","2026-08-29T16:27:26.903Z"
"cmtelg9nd01iz1wjn3x1aps95","105","05_cleaned_dag:2037","prism","statistical physics & thermodynamics","1","GRADER_FAILURE","Answers match everywhere.","38","2026-08-29T16:27:36.937Z","2026-08-29T16:27:35.257Z","reviewer_5d62413899c9","2026-08-29T16:27:35.258Z","2026-08-29T16:28:15.231Z"
"cmtelhul801jf1wjn5jie8dn0","219","6734989917a9687889930ac9","hle-physics","classical mechanics","1","PROBLEM_FAILURE","Problem requires additional context and is not sufficiently defined.","27","2026-08-29T16:28:49.263Z","2026-08-29T16:28:49.052Z","reviewer_5d62413899c9","2026-08-29T16:28:49.053Z","2026-08-29T16:29:16.654Z"
"cmteliint01jo1wjn1asrfy07","218","673497b017a9687889930ac4","hle-physics","classical mechanics","1","PROBLEM_FAILURE","Reference does not evaluate Lame's formula correctly.  Answer should be 5/3.","68","2026-08-29T16:29:20.848Z","2026-08-29T16:29:20.249Z","reviewer_5d62413899c9","2026-08-29T16:29:20.250Z","2026-08-29T16:30:29.597Z"
"cmtejrvrq012w1wjnq6cxr5sb","159","66f8cff8469c315e2c9ed2f6","hle-physics","atomic, molecular, and optical physics","1","PROBLEM_FAILURE","There is no side scattering from the tube.","350","2026-08-29T15:40:38.582Z","2026-08-29T15:40:37.908Z","reviewer_20cdc608231e","2026-08-29T15:40:37.910Z","2026-08-29T16:53:37.792Z"
"cmteme9dq000adzl63063zlv4","14","284","phybench","atomic, molecular, and optical physics","1","GRADER_FAILURE","Answers are the same","142","2026-08-29T16:54:02.941Z","2026-08-29T16:54:01.212Z","reviewer_20cdc608231e","2026-08-29T16:54:01.214Z","2026-08-29T16:56:30.137Z"
"cmtemhp8l0010dzl6wkjt6uqq","16","419","phybench","atomic, molecular, and optical physics","1","GRADER_FAILURE","Answers are algebraically the same","191","2026-08-29T16:56:43.579Z","2026-08-29T16:56:41.731Z","reviewer_20cdc608231e","2026-08-29T16:56:41.733Z","2026-08-29T17:00:41.191Z"
"cmtemn0330008zj1p024p86ar","29","498","phybench","atomic, molecular, and optical physics","1","GRADER_FAILURE","Final answers are identical","160","2026-08-29T17:00:52.150Z","2026-08-29T17:00:49.070Z","reviewer_20cdc608231e","2026-08-29T17:00:49.071Z","2026-08-29T17:03:40.552Z"
"cmtemr3by000uzj1pejd4jgn0","34","708","phybench","atomic, molecular, and optical physics","1","GRADER_FAILURE","Both results appear correct","265","2026-08-29T17:04:01.634Z","2026-08-29T17:03:59.899Z","reviewer_20cdc608231e","2026-08-29T17:03:59.900Z","2026-08-29T17:19:11.367Z"
"cmtenaw13000310ri63heez80","28","331","phybench","atomic, molecular, and optical physics","1","MODEL_FAILURE","Model solution is wrong","223","2026-08-29T17:19:26.098Z","2026-08-29T17:19:23.558Z","reviewer_20cdc608231e","2026-08-29T17:19:23.560Z","2026-08-29T18:03:49.927Z"
"cmteow5ih000fjey1v5g7kcw2","81","04_cleaned_dag:1084","prism","atomic, molecular, and optical physics","1","GRADER_FAILURE","Solutions are equal up to the dipole strength ratio","240","2026-08-29T18:03:57.113Z","2026-08-29T18:03:55.240Z","reviewer_20cdc608231e","2026-08-29T18:03:55.241Z","2026-08-29T18:11:45.648Z"
"cmtepf8qp002jjey1agr5qftz","2","674","phybench","classical mechanics","1","MODEL_FAILURE","","140","2026-08-29T18:18:46.971Z","2026-08-29T18:18:45.888Z","reviewer_20cdc608231e","2026-08-29T18:18:45.889Z","2026-08-29T18:21:07.683Z"
"cmtepjacb0033jey1hs8xcn26","27","505","phybench","classical mechanics","1","GRADER_FAILURE","","170","2026-08-29T18:21:55.670Z","2026-08-29T18:21:54.587Z","reviewer_20cdc608231e","2026-08-29T18:21:54.588Z","2026-08-29T18:24:50.638Z"
"cmtept9bp004njey13phhi07w","129","06_cleaned_dag:8009","prism","atomic, molecular, and optical physics","1","PROBLEM_FAILURE","Reference solution for subproblem c is missing","70","2026-08-29T18:29:41.164Z","2026-08-29T18:29:39.828Z","reviewer_20cdc608231e","2026-08-29T18:29:39.829Z","2026-08-29T18:30:53.813Z"
"cmtepuxfm0050jey1qpaih4ug","80","04_cleaned_dag:1049","prism","atomic, molecular, and optical physics","1","GRADER_FAILURE","Answers are identical","160","2026-08-29T18:30:58.742Z","2026-08-29T18:30:57.729Z","reviewer_20cdc608231e","2026-08-29T18:30:57.730Z","2026-08-29T18:33:40.686Z"
"cmtepyitk005mjey1wo396x9d","121","06_cleaned_dag:5058","prism","atomic, molecular, and optical physics","1","GRADER_FAILURE","","70","2026-08-29T18:33:48.048Z","2026-08-29T18:33:45.416Z","reviewer_20cdc608231e","2026-08-29T18:33:45.417Z","2026-08-29T18:35:07.352Z"
"cmteq0db1005zjey1id0eyebb","83","04_cleaned_dag:1139","prism","atomic, molecular, and optical physics","1","GRADER_FAILURE","","60","2026-08-29T18:35:12.909Z","2026-08-29T18:35:11.580Z","reviewer_20cdc608231e","2026-08-29T18:35:11.581Z","2026-08-29T18:36:22.046Z"
"cmteq1z71006bjey1r4exi8p3","122","06_cleaned_dag:5060","prism","atomic, molecular, and optical physics","1","PROBLEM_FAILURE","Reference misses J = 0 case","242","2026-08-29T18:36:28.089Z","2026-08-29T18:36:26.605Z","reviewer_20cdc608231e","2026-08-29T18:36:26.606Z","2026-08-29T18:40:57.080Z"
"cmteq7wys0076jey16umyfdnv","79","03_cleaned_dag:2029","prism","atomic, molecular, and optical physics","1","GRADER_FAILURE","Both results are correct","30","2026-08-29T18:41:04.294Z","2026-08-29T18:41:03.651Z","reviewer_20cdc608231e","2026-08-29T18:41:03.652Z","2026-08-29T18:41:41.669Z"
"cmterj8lm007sjey1tr3nmue6","167","6715f373a35b028a9e88c09f","hle-physics","classical mechanics","1","PROBLEM_FAILURE","","60","2026-08-29T19:17:52.471Z","2026-08-29T19:17:51.562Z","reviewer_6b94d1ac29fb","2026-08-29T19:17:51.563Z","2026-08-29T19:19:00.512Z"
